Date-Time,Summer Load(kW)-Yr 0 -adjusted,Summer Load(kW)-Yr 15,Summer Load(kW)-Yr 30,, Year 0 ,Year 15,Year 30,,,Winter Load(kW)-Yr 0 -adjusted,Winter Load(kW)-Yr 15,Winter Load(kW)-Yr 30
01/01/2018 00:00,0.08,0.08,0.08,,80,80,80,,,0,0,0
01/01/2018 01:00,0.08,0.08,0.08,,80,80,80,,,0,0,0
01/01/2018 02:00,0.08,0.08,0.08,,80,80,80,,,0,0,0
01/01/2018 03:00,0.08,0.08,0.08,,80,80,80,,,0,0,0
01/01/2018 04:00,0.08,0.08,0.08,,80,80,80,,,0,0,0
01/01/2018 05:00,0.08,0.08,0.08,,80,80,80,,,0,0,0
01/01/2018 06:00,0.1,0.1,0.14,,100,100,140,,,0.02,0.02,0.06
01/01/2018 07:00,0.1,0.1,0.14,,100,100,140,,,0.02,0.02,0.06
01/01/2018 08:00,0.1,0.1,0.14,,100,100,140,,,0.02,0.02,0.06
01/01/2018 09:00,0.1,0.1,0.14,,100,100,140,,,0.02,0.02,0.06
01/01/2018 10:00,0.08,0.08,0.12,,80,80,120,,,0,0,0.04
01/01/2018 11:00,0.08,0.08,0.12,,80,80,120,,,0,0,0.04
01/01/2018 12:00,0.08,0.08,0.085,,80,80,85,,,0,0,0.005
01/01/2018 13:00,0.08,0.08,0.085,,80,80,85,,,0,0,0.005
01/01/2018 14:00,0.08,0.08,0.085,,80,80,85,,,0,0,0.005
01/01/2018 15:00,0.08,0.08,0.085,,80,80,85,,,0,0,0.005
01/01/2018 16:00,0.08,0.08,0.085,,80,80,85,,,0,0,0.005
01/01/2018 17:00,0.1,0.343,0.383,,100,343,383,,,0.02,0.263,0.303
01/01/2018 18:00,0.1,0.343,0.383,,100,343,383,,,0.02,0.263,0.303
01/01/2018 19:00,0.1,0.343,0.383,,100,343,383,,,0.02,0.263,0.303
01/01/2018 20:00,0.1,0.343,0.383,,100,343,383,,,0.02,0.263,0.303
01/01/2018 21:00,0.1,0.343,0.383,,100,343,383,,,0.02,0.263,0.303
01/01/2018 22:00,0.08,0.08,0.08,,80,80,80,,,0,0,0
01/01/2018 23:00,0.08,0.08,0.08,,80,80,80,,,0,0,0
,,,,,,,,,,,,
Daily,2.1,3.315,3.78,,,,,,,0.18,1.395,1.86
Monthy,63,99.45,113.4,,,,,,,5.4,41.85,55.8
Season,441,696.15,793.8,,,,,,,27,209.25,279
,,,,,,,,,,,,
Yr 0 Total,468,,,,,,,,,,,
Yr 15 Total,905.4,,,,,,,,,,,
Yr 30Total,1072.8,,,,,,,,,,,
