,PC0,PC1,PC2,PC3,PC4
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0
21,4.973080609727659e-22,7.121129376399774e-22,4.2926893458369655e-22,4.420583841701701e-22,6.382383460829406e-22
22,1.6709104009663488e-20,2.3926354860161825e-20,1.4423050497203212e-20,1.485276451178951e-20,2.1444234961313986e-20
23,3.104327146672623e-19,4.445195437790484e-19,2.679609102343468e-19,2.75944419583588e-19,3.9840508917493917e-19
24,4.161337732556248e-18,5.958766144763928e-18,3.5920049463971616e-18,3.6990235598471716e-18,5.34060378334523e-18
25,4.4597651970510925e-17,6.386094947756146e-17,3.8496031029274084e-17,3.9642964824065675e-17,5.723601499071671e-17
26,4.0307659667929436e-16,5.771795832019213e-16,3.4792973368195337e-16,3.5829579893863443e-16,5.173029769638533e-16
27,3.173008120315148e-15,4.543542144266313e-15,2.7388934990693674e-15,2.8204948857689174e-15,4.072195111529838e-15
28,2.2224828657283075e-14,3.182451535719168e-14,1.9184142119786745e-14,1.975570600138629e-14,2.852304033933182e-14
29,1.4061003619384727e-13,2.0134446592279863e-13,1.213724955727458e-13,1.2498861425325905e-13,1.8045699232681067e-13
30,8.124604618915931e-13,1.1633907664843563e-12,7.013038079161189e-13,7.221981447141999e-13,1.0427006158741298e-12
31,4.32352541217475e-12,6.1910083987025145e-12,3.7320029434057985e-12,3.843192595523412e-12,5.548753227358388e-12
32,2.1328338401633384e-11,3.0540799367815683e-11,1.841030504150846e-11,1.8958813561996478e-11,2.7372497038412628e-11
