,0,1,1ger approx,1 ger rounded
0,0,214.2542996,0,0
1,0,302.5814858,0,0
2,0,367.5906322,0,0
3,751.7525796,440.4372657,41.7640322,0.8
4,1521.529706,493.2271515,84.52942813,1.5
5,2274.476399,537.9192385,126.3598,2.3
6,3036.933334,584.294789,168.7185186,3
7,3746.670593,639.1905542,208.1483663,3.7
8,4512.107522,674.0581239,250.6726401,4.5
9,5279.067489,719.4757782,293.2815272,5.3
10,5304.280772,765.9088499,294.6822651,5.3
11,5345.222015,827.3344138,296.9567786,5.3
12,5253.194607,876.440042,291.8441448,5.3
13,5284.389038,918.0053016,293.5771688,5.3
14,5301.065248,945.7029682,294.5036249,5.3
15,5992.70766,973.1067191,332.9282033,6
16,6861.319038,999.123615,381.184391,6.9
17,7483.011742,1030.551812,415.7228746,7.5
18,8312.846679,1049.736012,461.8248155,8.3
19,9103.849165,1074.024454,505.7693981,9.1
20,9796.176091,1097.013874,544.2320051,9.8
21,9760.718643,1112.691256,542.2621468,9.8
22,9878.686087,1123.66827,548.8158937,9.9
23,9840.187473,1136.272465,546.6770818,9.8
24,9881.283449,1166.667096,548.9601916,9.9
25,9716.485289,1215.216751,539.8047383,9.7
26,9779.534229,1237.87806,543.3074572,9.8
27,9787.29959,1251.504,543.7388661,9.8
28,10575.06988,1283.014371,587.5038825,10.6
29,11365.10764,1311.836371,631.3948688,11.4
30,11475.31989,1328.762435,637.5177716,11.5
31,11582.92765,1334.170533,643.4959807,11.6
32,11689.72976,1356.272641,649.429431,11.7
33,11802.10536,1365.59826,655.6725199,11.8
34,11917.05592,1387.272333,662.0586622,11.9
35,12030.74241,1405.348624,668.3745785,12
36,12147.78089,1428.821641,674.876716,12.1
37,12262.50824,1436.670377,681.2504579,12.3
38,12379.16402,1467.345512,687.7313344,12.4
39,12496.81245,1481.051405,694.2673586,12.5
40,12612.83487,1501.932022,700.7130484,12.6
41,12730.0376,1529.088981,707.2243112,12.7
42,12845.44098,1554.027912,713.6356099,12.8
43,12967.34721,1576.672333,720.4081785,13
44,13088.01346,1595.609592,727.1118591,13.1
45,13210.18062,1616.289622,733.8989232,13.2
46,13335.06273,1632.0022,740.8368182,13.3
47,13466.44553,1646.249643,748.1358627,13.5
48,13600.73812,1661.174057,755.5965621,13.6
49,13728.75072,1690.93917,762.7083735,13.7
50,13858.21519,1706.064083,769.900844,13.9
51,13991.95183,1732.044378,777.330657,14
52,14120.16637,1749.891388,784.453687,14.1
53,14255.96865,1771.532127,791.9982581,14.3
54,14391.37106,1771.120512,799.5206145,14.4
55,14524.40237,1766.070994,806.9112425,14.5
56,14660.31522,1780.513754,814.4619566,14.7
57,14802.86526,1790.242712,822.3814035,14.8
58,14945.18481,1804.257491,830.2880448,14.9
59,15088.55024,1815.035359,838.2527912,15.1
60,15225.74954,1815.051077,845.8749744,15.2
61,15371.38619,1834.334357,853.9658997,15.4
62,15515.79919,1855.800028,861.9888437,15.5
63,15660.06125,1868.736519,870.0034027,15.7
64,15807.33562,1870.734989,878.1853124,15.8
65,15958.39997,1891.911819,886.5777761,16
66,16114.00625,1901.039176,895.2225696,16.1
67,16263.73778,1924.484708,903.5409879,16.3
68,16413.25932,1944.485735,911.84774,16.4
69,16563.46816,1956.541798,920.1926753,16.6
70,16723.67974,1968.786395,929.093319,16.7
71,16875.43156,1992.251695,937.5239758,16.9
72,17031.92925,2001.564953,946.2182915,17
73,17190.59179,2019.417998,955.0328772,17.2
74,17357.88575,2027.359844,964.3269864,17.4
75,17523.09847,2037.009366,973.5054707,17.5
76,17688.1085,2071.406944,982.6726946,17.7
77,17859.41166,2083.921899,992.1895364,17.9
78,18033.73543,2089.920517,1001.874191,18
79,18201.46247,2095.922683,1011.19236,18.2
80,18374.6071,2099.224737,1020.811506,18.4
81,18550.67101,2118.082629,1030.592834,18.6
82,18727.98411,2151.698354,1040.443562,18.7
83,18901.92251,2160.048567,1050.106806,18.9
84,19090.42177,2164.109776,1060.578987,19.1
85,19268.36884,2180.218591,1070.464935,19.3
86,19452.75202,2185.675451,1080.708445,19.5
87,19644.94513,2213.024452,1091.38584,19.6
88,19829.56872,2229.939827,1101.642707,19.8
89,20027.82583,2235.191285,1112.656991,20
90,20216.5986,2231.693405,1123.144367,20.2
91,20414.7126,2240.337667,1134.1507,20.4
92,20604.81382,2263.391027,1144.711879,20.6
93,20794.91328,2278.331581,1155.27296,20.8
94,21000.71087,2286.97836,1166.706159,21
95,21190.26847,2291.080269,1177.237137,21.2
96,21400.2793,2304.364141,1188.904406,21.4
97,21596.32058,2317.928341,1199.795588,21.6
98,21801.14892,2321.668828,1211.17494,21.8
99,22016.18362,2334.05346,1223.121312,22
100,22130.17686,2354.526182,1229.45427,22.1
101,22252.44733,2375.272178,1236.247074,22.3
102,22368.76369,2402.663635,1242.709094,22.4
103,22477.39982,2418.732988,1248.744435,22.5
104,22637.63242,2433.332871,1257.646245,22.6
105,22711.79125,2442.04086,1261.766181,22.7
106,22874.68531,2447.9568,1270.815851,22.9
107,22975.76653,2460.700876,1276.431474,23
108,23126.86475,2476.081325,1284.825819,23.1
109,23224.09822,2478.342426,1290.227679,23.2
110,23354.68884,2492.161837,1297.482713,23.4
111,23446.05201,2496.311142,1302.558445,23.4
112,23625.18413,2518.781851,1312.510229,23.6
113,23734.37527,2515.778237,1318.576404,23.7
114,23852.23926,2533.613417,1325.124403,23.9
115,23926.25617,2542.86569,1329.236454,23.9
116,24016.17863,2551.200624,1334.232146,24
117,24100.21319,2556.336021,1338.900733,24.1
118,24259.37699,2566.487211,1347.743166,24.3
119,24402.16879,2590.274217,1355.676044,24.4
120,24579.52642,2593.549209,1365.529245,24.6
121,24697.82386,2605.519619,1372.101325,24.7
122,24794.88115,2612.144387,1377.493397,24.8
123,24968.24717,2629.557438,1387.124843,25
124,25087.64542,2640.728772,1393.758079,25.1
125,25232.44538,2642.567343,1401.802521,25.2
126,25353.5775,2646.225663,1408.532084,25.4
127,25453.02989,2645.997175,1414.057216,25.5
128,25641.56246,2653.942569,1424.531248,25.6
129,25823.82601,2663.980206,1434.657,25.8
130,25961.81709,2675.641616,1442.323171,26
